"year","scenario","esm","mem","biomass"
2051,"ssp1","gfdl-esm4","boats",6319586300817001
2052,"ssp1","gfdl-esm4","boats",6342240095416008
2053,"ssp1","gfdl-esm4","boats",6368062790958584
2054,"ssp1","gfdl-esm4","boats",6361040805519193
2055,"ssp1","gfdl-esm4","boats",6338599878225178
2056,"ssp1","gfdl-esm4","boats",6331559684274974
2057,"ssp1","gfdl-esm4","boats",6325076758408756
2058,"ssp1","gfdl-esm4","boats",6359095459731794
2059,"ssp1","gfdl-esm4","boats",6355049499977549
2060,"ssp1","gfdl-esm4","boats",6315397777554343
2061,"ssp1","gfdl-esm4","boats",6300438548212250
2062,"ssp1","gfdl-esm4","boats",6319916820928598
2063,"ssp1","gfdl-esm4","boats",6337654024770654
2064,"ssp1","gfdl-esm4","boats",6336202535046776
2065,"ssp1","gfdl-esm4","boats",6325302728213482
2066,"ssp1","gfdl-esm4","boats",6316834433719300
2067,"ssp1","gfdl-esm4","boats",6312284133163416
2068,"ssp1","gfdl-esm4","boats",6298736106282012
2069,"ssp1","gfdl-esm4","boats",6278747899844780
2070,"ssp1","gfdl-esm4","boats",6274670300757949
2071,"ssp1","gfdl-esm4","boats",6278361751870472
2072,"ssp1","gfdl-esm4","boats",6270479193897301
2073,"ssp1","gfdl-esm4","boats",6280058499497966
2074,"ssp1","gfdl-esm4","boats",6287811935044735
2075,"ssp1","gfdl-esm4","boats",6315247455766932
2076,"ssp1","gfdl-esm4","boats",6319924951343160
2077,"ssp1","gfdl-esm4","boats",6269928473260290
2078,"ssp1","gfdl-esm4","boats",6177935606764700
2079,"ssp1","gfdl-esm4","boats",6194058044592042
2080,"ssp1","gfdl-esm4","boats",6199158533559967
2081,"ssp1","gfdl-esm4","boats",6208523540345858
2082,"ssp1","gfdl-esm4","boats",6157650109855062
2083,"ssp1","gfdl-esm4","boats",6140113247490682
2084,"ssp1","gfdl-esm4","boats",6189579726633198
2085,"ssp1","gfdl-esm4","boats",6183363951723140
2086,"ssp1","gfdl-esm4","boats",6167518690713938
2087,"ssp1","gfdl-esm4","boats",6175152664750160
2088,"ssp1","gfdl-esm4","boats",6166657478633397
2089,"ssp1","gfdl-esm4","boats",6163148024720246
2090,"ssp1","gfdl-esm4","boats",6162258788676380
2091,"ssp1","gfdl-esm4","boats",6187568846040465
2092,"ssp1","gfdl-esm4","boats",6189509540794575
2093,"ssp1","gfdl-esm4","boats",6182536826489286
2094,"ssp1","gfdl-esm4","boats",6213425276196465
2095,"ssp1","gfdl-esm4","boats",6213294405198518
2096,"ssp1","gfdl-esm4","boats",6239107151822632
2097,"ssp1","gfdl-esm4","boats",6194661668502888
2098,"ssp1","gfdl-esm4","boats",6176273686419087
2099,"ssp1","gfdl-esm4","boats",6174256009855082
2100,"ssp1","gfdl-esm4","boats",6182799004823942
2015,"ssp5","gfdl-esm4","boats",6704429128869740
2016,"ssp5","gfdl-esm4","boats",6665376182978307
2017,"ssp5","gfdl-esm4","boats",6625306336310226
2018,"ssp5","gfdl-esm4","boats",6643779181089516
2019,"ssp5","gfdl-esm4","boats",6638805159644752
2020,"ssp5","gfdl-esm4","boats",6620440203852134
2021,"ssp5","gfdl-esm4","boats",6604259015590826
2022,"ssp5","gfdl-esm4","boats",6596200102173292
2023,"ssp5","gfdl-esm4","boats",6608878804516863
2024,"ssp5","gfdl-esm4","boats",6619225079736606
2025,"ssp5","gfdl-esm4","boats",6601985261486277
2026,"ssp5","gfdl-esm4","boats",6590631450690608
2027,"ssp5","gfdl-esm4","boats",6584143076767316
2028,"ssp5","gfdl-esm4","boats",6573276169334301
2029,"ssp5","gfdl-esm4","boats",6513398031981816
2030,"ssp5","gfdl-esm4","boats",6537821584032345
2031,"ssp5","gfdl-esm4","boats",6508199348433362
2032,"ssp5","gfdl-esm4","boats",6443131711605867
2033,"ssp5","gfdl-esm4","boats",6431326387307203
2034,"ssp5","gfdl-esm4","boats",6466915385762222
2035,"ssp5","gfdl-esm4","boats",6483199016666803
2036,"ssp5","gfdl-esm4","boats",6444228400917071
2037,"ssp5","gfdl-esm4","boats",6435583569397071
2038,"ssp5","gfdl-esm4","boats",6444998665337640
2039,"ssp5","gfdl-esm4","boats",6432005175791175
2040,"ssp5","gfdl-esm4","boats",6416115260376755
2041,"ssp5","gfdl-esm4","boats",6409408947832560
2042,"ssp5","gfdl-esm4","boats",6403109555012142
2043,"ssp5","gfdl-esm4","boats",6364011065933647
2044,"ssp5","gfdl-esm4","boats",6322781807391778
2045,"ssp5","gfdl-esm4","boats",6279782255628752
2046,"ssp5","gfdl-esm4","boats",6291109966510950
2047,"ssp5","gfdl-esm4","boats",6265663676093884
2048,"ssp5","gfdl-esm4","boats",6252365699780216
2049,"ssp5","gfdl-esm4","boats",6180045445359088
2050,"ssp5","gfdl-esm4","boats",6198322134414694
2051,"ssp5","gfdl-esm4","boats",6177851947756908
2052,"ssp5","gfdl-esm4","boats",6132130949788368
2053,"ssp5","gfdl-esm4","boats",6129564095777244
2054,"ssp5","gfdl-esm4","boats",6105817012398804
2055,"ssp5","gfdl-esm4","boats",6045174306691498
2056,"ssp5","gfdl-esm4","boats",6090957469713084
2057,"ssp5","gfdl-esm4","boats",6048670852021999
2058,"ssp5","gfdl-esm4","boats",6034680646948856
2059,"ssp5","gfdl-esm4","boats",6001955521095235
2060,"ssp5","gfdl-esm4","boats",6022225106975810
2061,"ssp5","gfdl-esm4","boats",5972426890209252
2062,"ssp5","gfdl-esm4","boats",5973030185663415
2063,"ssp5","gfdl-esm4","boats",5972834385663560
2064,"ssp5","gfdl-esm4","boats",5880111187384201
2065,"ssp5","gfdl-esm4","boats",5892016510725964
2066,"ssp5","gfdl-esm4","boats",5895329061846687
2067,"ssp5","gfdl-esm4","boats",5858438354610377
2068,"ssp5","gfdl-esm4","boats",5861059048108657
2069,"ssp5","gfdl-esm4","boats",5798198253187381
2070,"ssp5","gfdl-esm4","boats",5769346354650650
2071,"ssp5","gfdl-esm4","boats",5746043869293626
2072,"ssp5","gfdl-esm4","boats",5756124932444748
2073,"ssp5","gfdl-esm4","boats",5718141888104346
2074,"ssp5","gfdl-esm4","boats",5706847076803631
2075,"ssp5","gfdl-esm4","boats",5673239068226266
